"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2018-03",5.555048,
"AUS","HUR","TOT","PC_LF","M","2018-04",5.559155,
"AUS","HUR","TOT","PC_LF","M","2018-05",5.386026,
"AUS","HUR","TOT","PC_LF","M","2018-06",5.277534,
"AUS","HUR","TOT","PC_LF","M","2018-07",5.259318,
"AUS","HUR","TOT","PC_LF","M","2018-08",5.239898,
"AUS","HUR","TOT","PC_LF","M","2018-09",4.986863,
"AUS","HUR","TOT","PC_LF","M","2018-10",4.979814,
"AUS","HUR","TOT","PC_LF","M","2018-11",5.108513,
"AUS","HUR","TOT","PC_LF","M","2018-12",5.004922,
"AUS","HUR","TOT","PC_LF","M","2019-01",5.081373,
"AUS","HUR","TOT","PC_LF","M","2019-02",5.007784,
"AUS","HUR","TOT","PC_LF","M","2019-03",5.135801,
"AUS","HUR","TOT","PC_LF","M","2019-04",5.242968,
"AUS","HUR","TOT","PC_LF","M","2019-05",5.199353,
"AUS","HUR","TOT","PC_LF","M","2019-06",5.201538,
"AUS","HUR","TOT","PC_LF","M","2019-07",5.228508,
"AUS","HUR","TOT","PC_LF","M","2019-08",5.223804,
"AUS","HUR","TOT","PC_LF","M","2019-09",5.160942,
"AUS","HUR","TOT","PC_LF","M","2019-10",5.271043,
"AUS","HUR","TOT","PC_LF","M","2019-11",5.15723,
"AUS","HUR","TOT","PC_LF","M","2019-12",5.046326,
"AUS","HUR","TOT","PC_LF","M","2020-01",5.311689,
"AUS","HUR","TOT","PC_LF","M","2020-02",5.13366,
"AUS","HUR","TOT","PC_LF","M","2020-03",5.271841,
"AUS","HUR","TOT","PC_LF","M","2020-04",6.374276,
"AUS","HUR","TOT","PC_LF","M","2020-05",7.018559,
"AUS","HUR","TOT","PC_LF","M","2020-06",7.353504,
"AUS","HUR","TOT","PC_LF","M","2020-07",7.44782,
"AUS","HUR","TOT","PC_LF","M","2020-08",6.758088,
"AUS","HUR","TOT","PC_LF","M","2020-09",6.854655,
"AUS","HUR","TOT","PC_LF","M","2020-10",6.935978,
"AUS","HUR","TOT","PC_LF","M","2020-11",6.832822,
"AUS","HUR","TOT","PC_LF","M","2020-12",6.577847,
"AUS","HUR","TOT","PC_LF","M","2021-01",6.399545,
"AUS","HUR","TOT","PC_LF","M","2021-02",5.862685,
"AUS","HUR","TOT","PC_LF","M","2021-03",5.693758,
"AUS","HUR","TOT","PC_LF","M","2021-04",5.471205,
"AUS","HUR","TOT","PC_LF","M","2021-05",5.065564,
"AUS","HUR","TOT","PC_LF","M","2021-06",4.906898,
"AUS","HUR","TOT","PC_LF","M","2021-07",4.628413,
"AUS","HUR","TOT","PC_LF","M","2021-08",4.525121,
"AUS","HUR","TOT","PC_LF","M","2021-09",4.631909,
"AUS","HUR","TOT","PC_LF","M","2021-10",5.223247,
"AUS","HUR","TOT","PC_LF","M","2021-11",4.608804,
"AUS","HUR","TOT","PC_LF","M","2021-12",4.157424,
"AUT","HUR","TOT","PC_LF","M","2018-03",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2018-04",5,"P"
"AUT","HUR","TOT","PC_LF","M","2018-05",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2018-06",5,"P"
"AUT","HUR","TOT","PC_LF","M","2018-07",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2018-08",5.6,"P"
"AUT","HUR","TOT","PC_LF","M","2018-09",5.4,"P"
"AUT","HUR","TOT","PC_LF","M","2018-10",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2018-11",5,"P"
"AUT","HUR","TOT","PC_LF","M","2018-12",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2019-01",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-02",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2019-03",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-04",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2019-05",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-06",4.6,"P"
"AUT","HUR","TOT","PC_LF","M","2019-07",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-08",5,"P"
"AUT","HUR","TOT","PC_LF","M","2019-09",4.6,"P"
"AUT","HUR","TOT","PC_LF","M","2019-10",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-11",4.4,"P"
"AUT","HUR","TOT","PC_LF","M","2019-12",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-01",4.4,"P"
"AUT","HUR","TOT","PC_LF","M","2020-02",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-03",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2020-04",6,"P"
"AUT","HUR","TOT","PC_LF","M","2020-05",7.1,"P"
"AUT","HUR","TOT","PC_LF","M","2020-06",7.7,"P"
"AUT","HUR","TOT","PC_LF","M","2020-07",6.8,"P"
"AUT","HUR","TOT","PC_LF","M","2020-08",6.4,"P"
